Function Name,deprecated_info,Function call
SelfAskWithSearchAgent,"""0.1.0"",alternative=""create_self_ask_with_search"",removal=""0.3.0""",base.SelfAskWithSearchAgent
SelfAskWithSearchChain,"""0.1.0"",removal=""0.3.0""",base.SelfAskWithSearchChain
OpenAIFunctionsAgent,"""0.1.0"",alternative=""create_openai_functions_agent"",removal=""0.3.0""",base.OpenAIFunctionsAgent
OpenAIMultiFunctionsAgent,"""0.1.0"",alternative=""create_openai_tools_agent"",removal=""0.3.0""",base.OpenAIMultiFunctionsAgent
ChatAgent,"""0.1.0"",alternative=""create_react_agent"",removal=""0.3.0""",base.ChatAgent
ZeroShotAgent,"""0.1.0"",alternative=""create_react_agent"",removal=""0.3.0""",base.ZeroShotAgent
MRKLChain,"""0.1.0"",removal=""0.3.0""",base.MRKLChain
StructuredChatAgent,"""0.1.0"",alternative=""create_structured_chat_agent"",removal=""0.3.0""",base.StructuredChatAgent
ConversationalChatAgent,"""0.1.0"",alternative=""create_json_chat_agent"",removal=""0.3.0""",base.ConversationalChatAgent
XMLAgent,"""0.1.0"",alternative=""create_xml_agent"",removal=""0.3.0""",base.XMLAgent
ConversationalAgent,"""0.1.0"",alternative=""create_react_agent"",removal=""0.3.0""",base.ConversationalAgent
ReActDocstoreAgent,"""0.1.0"",removal=""0.3.0""",base.ReActDocstoreAgent
DocstoreExplorer,"""0.1.0"",removal=""0.3.0""",base.DocstoreExplorer
ReActTextWorldAgent,"""0.1.0"",removal=""0.3.0""",base.ReActTextWorldAgent
ReActChain,"""0.1.0"",removal=""0.3.0""",base.ReActChain
LLMChain,"since=""0.1.17"",alternative=""RunnableSequence,e.g.,`prompt|llm`"",removal=""0.3.0"",",llm.LLMChain
__call__,"""0.1.0"",alternative=""invoke"",removal=""0.3.0""",base.__call__
run,"""0.1.0"",alternative=""invoke"",removal=""0.3.0""",base.run
apply,"""0.1.0"",alternative=""batch"",removal=""0.3.0""",base.apply
create_openai_fn_chain,"since=""0.1.1"",removal=""0.3.0"",alternative=""create_openai_fn_runnable""",base.create_openai_fn_chain
create_structured_output_chain,"since=""0.1.1"",removal=""0.3.0"",alternative=""ChatOpenAI.with_structured_output""",base.create_structured_output_chain
RetrievalQA,"since=""0.1.17"",alternative=""create_retrieval_chain"",removal=""0.3.0""",base.RetrievalQA
Pinecone,"since=""0.0.3"",removal=""0.3.0"",alternative=""PineconeVectorStore""",vectorstores.Pinecone
ChatAnthropicMessages,"since=""0.1.0"",removal=""0.3.0"",alternative=""ChatAnthropic""",chat_models.ChatAnthropicMessages
Anthropic,"since=""0.1.0"",removal=""0.3.0"",alternative=""AnthropicLLM""",llms.Anthropic
GroundednessCheck,"since=""0.1.3"",removal=""0.3.0"",alternative_import=""langchain_upstage.UpstageGroundednessCheck"",",groundedness_check.GroundednessCheck
AstraDBCache,"since=""0.0.28"",removal=""0.3.0"",alternative_import=""langchain_astradb.AstraDBCache"",",cache.AstraDBCache
AstraDBSemanticCache,"since=""0.0.28"",removal=""0.3.0"",alternative_import=""langchain_astradb.AstraDBSemanticCache"",",cache.AstraDBSemanticCache
GMailLoader,"since=""0.0.32"",removal=""0.3.0"",alternative_import=""langchain_google_community.GMailLoader"",",gmail.GMailLoader
GoogleVertexAISearchRetriever,"since=""0.0.33"",removal=""0.3.0"",alternative_import=""langchain_google_community.VertexAISearchRetriever"",",google_vertex_ai_search.GoogleVertexAISearchRetriever
GoogleVertexAIMultiTurnSearchRetriever,"since=""0.0.33"",removal=""0.3.0"",alternative_import=""langchain_google_community.VertexAIMultiTurnSearchRetriever"",",google_vertex_ai_search.GoogleVertexAIMultiTurnSearchRetriever
GoogleDocumentAIWarehouseRetriever,"since=""0.0.32"",removal=""0.3.0"",alternative_import=""langchain_google_community.DocumentAIWarehouseRetriever"",",google_cloud_documentai_warehouse.GoogleDocumentAIWarehouseRetriever
CohereRagRetriever,"since=""0.0.30"",removal=""0.3.0"",alternative_import=""langchain_cohere.CohereRagRetriever"",",cohere_rag_retriever.CohereRagRetriever
GooglePlacesTool,"since=""0.0.33"",removal=""0.3.0"",alternative_import=""langchain_google_community.GooglePlacesTool"",",tool.GooglePlacesTool
GoogleSearchRun,"since=""0.0.33"",removal=""0.3.0"",alternative_import=""langchain_google_community.GoogleSearchRun"",",tool.GoogleSearchRun
GoogleSearchResults,"since=""0.0.33"",removal=""0.3.0"",alternative_import=""langchain_google_community.GoogleSearchResults"",",tool.GoogleSearchResults
GoogleCloudTextToSpeechTool,"since=""0.0.33"",removal=""0.3.0"",alternative_import=""langchain_google_community.TextToSpeechTool"",",texttospeech.GoogleCloudTextToSpeechTool
MetaphorSearchResults,"since=""0.0.15"",removal=""0.3.0"",alternative=""langchain_exa.ExaSearchResults"",",tool.MetaphorSearchResults
VertexAIEmbeddings,"since=""0.0.12"",removal=""0.3.0"",alternative_import=""langchain_google_vertexai.VertexAIEmbeddings"",",vertexai.VertexAIEmbeddings
ElasticsearchEmbeddings,"""0.1.11"",alternative=""Useclassinlangchain-elasticsearchpackage"",pending=True",elasticsearch.ElasticsearchEmbeddings
VoyageEmbeddings,"since=""0.0.29"",removal=""0.3"",alternative_import=""langchain_voyageai.VoyageAIEmbeddings"",",voyageai.VoyageEmbeddings
OpenAIEmbeddings,"since=""0.0.9"",removal=""0.3.0"",alternative_import=""langchain_openai.OpenAIEmbeddings"",",openai.OpenAIEmbeddings
AzureOpenAIEmbeddings,"since=""0.0.9"",removal=""0.3.0"",alternative_import=""langchain_openai.AzureOpenAIEmbeddings"",",azure_openai.AzureOpenAIEmbeddings
SolarEmbeddings,"since=""0.0.34"",removal=""0.3.0"",alternative_import=""langchain_upstage.ChatUpstage""",solar.SolarEmbeddings
ErnieEmbeddings,"since=""0.0.13"",alternative=""langchain_community.embeddings.QianfanEmbeddingsEndpoint"",",ernie.ErnieEmbeddings
CohereEmbeddings,"since=""0.0.30"",removal=""0.3.0"",alternative_import=""langchain_cohere.CohereEmbeddings"",",cohere.CohereEmbeddings
ChatVertexAI,"since=""0.0.12"",removal=""0.3.0"",alternative_import=""langchain_google_vertexai.ChatVertexAI"",",vertexai.ChatVertexAI
ChatOpenAI,"since=""0.0.10"",removal=""0.3.0"",alternative_import=""langchain_openai.ChatOpenAI""",openai.ChatOpenAI
AzureChatOpenAI,"since=""0.0.10"",removal=""0.3.0"",alternative_import=""langchain_openai.AzureChatOpenAI"",",azure_openai.AzureChatOpenAI
ChatFireworks,"since=""0.0.26"",removal=""0.3"",alternative_import=""langchain_fireworks.ChatFireworks"",",fireworks.ChatFireworks
SolarChat,"since=""0.0.34"",removal=""0.3.0"",alternative_import=""langchain_upstage.ChatUpstage""",solar.SolarChat
ChatAnthropic,"since=""0.0.28"",removal=""0.3"",alternative_import=""langchain_anthropic.ChatAnthropic"",",anthropic.ChatAnthropic
ErnieBotChat,"since=""0.0.13"",alternative=""langchain_community.chat_models.QianfanChatEndpoint"",",ernie.ErnieBotChat
ChatCohere,"since=""0.0.30"",removal=""0.3.0"",alternative_import=""langchain_cohere.ChatCohere""",cohere.ChatCohere
_stream_response_to_chat_generation_chunk,"""0.0.3"",alternative=""_chat_stream_response_to_chat_generation_chunk""",ollama._stream_response_to_chat_generation_chunk
_format_message_as_text,"""0.0.3"",alternative=""_convert_messages_to_ollama_messages""",ollama._format_message_as_text
_legacy_stream,"""0.0.3"",alternative=""_stream""",ollama._legacy_stream
BedrockChat,"since=""0.0.34"",removal=""0.3"",alternative_import=""langchain_aws.ChatBedrock""",bedrock.BedrockChat
AstraDBStore,"since=""0.0.22"",removal=""0.3.0"",alternative_import=""langchain_astradb.AstraDBStore"",",astradb.AstraDBStore
AstraDBByteStore,"since=""0.0.22"",removal=""0.3.0"",alternative_import=""langchain_astradb.AstraDBByteStore"",",astradb.AstraDBByteStore
UpstashRedisStore,"""0.0.1"",alternative=""UpstashRedisByteStore""",upstash_redis.UpstashRedisStore
GooglePlacesAPIWrapper,"since=""0.0.33"",removal=""0.3.0"",alternative_import=""langchain_google_community.GooglePlacesAPIWrapper"",",google_places_api.GooglePlacesAPIWrapper
GoogleSearchAPIWrapper,"since=""0.0.33"",removal=""0.3.0"",alternative_import=""langchain_google_community.GoogleSearchAPIWrapper"",",google_search.GoogleSearchAPIWrapper
get_table_names,"""0.0.1"",alternative=""get_usable_table_names"",removal=""0.3.0""",sql_database.get_table_names
ApproxRetrievalStrategy,"""0.0.27"",alternative=""Useclassinlangchain-elasticsearchpackage"",pending=True",elasticsearch.ApproxRetrievalStrategy
ExactRetrievalStrategy,"""0.0.27"",alternative=""Useclassinlangchain-elasticsearchpackage"",pending=True",elasticsearch.ExactRetrievalStrategy
SparseRetrievalStrategy,"""0.0.27"",alternative=""Useclassinlangchain-elasticsearchpackage"",pending=True",elasticsearch.SparseRetrievalStrategy
ElasticsearchStore,"""0.0.27"",alternative=""Useclassinlangchain-elasticsearchpackage"",pending=True",elasticsearch.ElasticsearchStore
Pinecone,"since=""0.0.18"",removal=""0.3.0"",alternative_import=""langchain_pinecone.Pinecone""",pinecone.Pinecone
AstraDB,"since=""0.0.21"",removal=""0.3.0"",alternative_import=""langchain_astradb.AstraDBVectorStore"",",astradb.AstraDB
MongoDBAtlasVectorSearch,"since=""0.0.25"",removal=""0.3.0"",alternative_import=""langchain_mongodb.MongoDBAtlasVectorSearch"",",mongodb_atlas.MongoDBAtlasVectorSearch
MatchingEngine,"since=""0.0.12"",removal=""0.3.0"",alternative_import=""langchain_google_vertexai.VectorSearchVectorStore"",",matching_engine.MatchingEngine
BigQueryVectorSearch,"since=""0.0.33"",removal=""0.3.0"",alternative_import=""langchain_google_community.BigQueryVectorSearch"",",bigquery_vector_search.BigQueryVectorSearch
ElasticVectorSearch,"""0.0.27"",alternative=""UseElasticsearchStoreclassinlangchain-elasticsearchpackage"",pending=True,",elastic_vector_search.ElasticVectorSearch
ElasticKnnSearch,"""0.0.1"",alternative=""UseElasticsearchStoreclassinlangchain-elasticsearchpackage"",pending=True,",elastic_vector_search.ElasticKnnSearch
GoogleTranslateTransformer,"since=""0.0.32"",removal=""0.3.0"",alternative_import=""langchain_google_community.DocAIParser"",",google_translate.GoogleTranslateTransformer
GoogleDriveLoader,"since=""0.0.32"",removal=""0.3.0"",alternative_import=""langchain_google_community.GoogleDriveLoader"",",googledrive.GoogleDriveLoader
AstraDBLoader,"since=""0.0.29"",removal=""0.3.0"",alternative_import=""langchain_astradb.AstraDBLoader"",",astradb.AstraDBLoader
BigQueryLoader,"since=""0.0.32"",removal=""0.3.0"",alternative_import=""langchain_google_community.BigQueryLoader"",",bigquery.BigQueryLoader
GoogleSpeechToTextLoader,"since=""0.0.32"",removal=""0.3.0"",alternative_import=""langchain_google_community.SpeechToTextLoader"",",google_speech_to_text.GoogleSpeechToTextLoader
DocugamiLoader,"since=""0.0.24"",removal=""0.3.0"",alternative_import=""docugami_langchain.DocugamiLoader"",",docugami.DocugamiLoader
GCSFileLoader,"since=""0.0.32"",removal=""0.3.0"",alternative_import=""langchain_google_community.GCSFileLoader"",",gcs_file.GCSFileLoader
GCSDirectoryLoader,"since=""0.0.32"",removal=""0.3.0"",alternative_import=""langchain_google_community.GCSDirectoryLoader"",",gcs_directory.GCSDirectoryLoader
DocAIParser,"since=""0.0.32"",removal=""0.3.0"",alternative_import=""langchain_google_community.DocAIParser"",",docai.DocAIParser
__init_redis_connection,"""0.0.31"",alternative=""__init_falkordb_connection""",falkordb_graph.__init_redis_connection
VertexAI,"since=""0.0.12"",removal=""0.3.0"",alternative_import=""langchain_google_vertexai.VertexAI"",",vertexai.VertexAI
VertexAIModelGarden,"since=""0.0.12"",removal=""0.3.0"",alternative_import=""langchain_google_vertexai.VertexAIModelGarden"",",vertexai.VertexAIModelGarden
GooglePalm,"""0.0.12"",alternative_import=""langchain_google_genai.GoogleGenerativeAI""",google_palm.GooglePalm
HuggingFaceTextGenInference,"""0.0.21"",removal=""0.3.0"",alternative=""HuggingFaceEndpoint""",huggingface_text_gen_inference.HuggingFaceTextGenInference
OpenAI,"since=""0.0.10"",removal=""0.3.0"",alternative_import=""langchain_openai.OpenAI""",openai.OpenAI
AzureOpenAI,"since=""0.0.10"",removal=""0.3.0"",alternative_import=""langchain_openai.AzureOpenAI""",openai.AzureOpenAI
OpenAIChat,"since=""0.0.1"",removal=""0.3.0"",alternative_import=""langchain_openai.ChatOpenAI"",",openai.OpenAIChat
Fireworks,"since=""0.0.26"",removal=""0.3"",alternative_import=""langchain_fireworks.Fireworks"",",fireworks.Fireworks
Anthropic,"since=""0.0.28"",removal=""0.3"",alternative_import=""langchain_anthropic.AnthropicLLM"",",anthropic.Anthropic
Together,"since=""0.0.12"",removal=""0.3"",alternative_import=""langchain_together.Together""",together.Together
WatsonxLLM,"since=""0.0.18"",removal=""0.3"",alternative_import=""langchain_ibm.WatsonxLLM""",watsonxllm.WatsonxLLM
BaseCohere,"since=""0.0.30"",removal=""0.3.0"",alternative_import=""langchain_cohere.BaseCohere""",cohere.BaseCohere
Cohere,"since=""0.1.14"",removal=""0.3.0"",alternative_import=""langchain_cohere.Cohere""",cohere.Cohere
Bedrock,"since=""0.0.34"",removal=""0.3"",alternative_import=""langchain_aws.BedrockLLM""",bedrock.Bedrock
HuggingFaceHub,"""0.0.21"",removal=""0.3.0"",alternative=""HuggingFaceEndpoint""",huggingface_hub.HuggingFaceHub
ElasticsearchChatMessageHistory,"""0.0.27"",alternative=""Uselangchain-elasticsearchpackage"",pending=True",elasticsearch.ElasticsearchChatMessageHistory
AstraDBChatMessageHistory,"since=""0.0.25"",removal=""0.3.0"",alternative_import=""langchain_astradb.AstraDBChatMessageHistory"",",astradb.AstraDBChatMessageHistory
MongoDBChatMessageHistory,"since=""0.0.25"",removal=""0.3.0"",alternative_import=""langchain_mongodb.MongoDBChatMessageHistory"",",mongodb.MongoDBChatMessageHistory
